1	@liss_kaetsu_gm
2	@kavos2011
3	@RCHtosho
4	@ike_labo
5	@BiblioEi8ht	@TokyoBiblio	@hokudaisapollo	@libsup20151	@Bibliophilia_KU	@bibshizuoka	@bibliozenkoku
6	@lib_toho	@lib_seiryo	@hsu_library223	@imu_tosho
7	@tsukuba_tulips	@ICU_Lib	@nims_library	@KGU_Library	@kadai_lib	@oisr1919	@SagaUnivLibrary	@medinfo_toku	@drfml	@mrctwi	@saimed_lib_nb
8	@Media_Gundai	@Kindai_Clib	@hirodai_tosho	@cislibrary	@TitechLibFan	@waseda_lib	@w_chuo_library
9	@bunkalib	@KobeU_Lib	@UTokyoNewLib	@tkulibrary	@Shimadai_Lib	@kobekernel	@hagi_no_suke	@gacos_utokyo	@lilika_toyama	@geibunlibrary	@KUIS_Lib	@mikasalib	@Toriokikun	@NIIlib	@acsUTokyoNewLib	@SSJClib	@UTokyo_epslib	@daitokenkyoto	@cinii_jp	@waseda_ENPAKU	@KUL_kagoshima	@view_kun	@tulips_tenji	@irdlib	@aulsd	@en_hit	@gama_jumper	@Library_jp	@keiogakushusoud
10	@dent_lib	@TulipsR	@kogakuinslib	@1961cogito	@aiit4u	@tobunken	@juen_lib	@TCU_jp	@tku_iss	@iidawjclib	@NagoyaUnivLibSD	@NDLJP	@CambridgeUPJP	@medialib	@jouhouken	@imr_lib	@kyodai_letlib	@mau_m_l	@kyotomm	@nii_content	@library_lovers	@miyakyobbc	@RitsARC	@NMC_newbook	@hito_lib_na	@ICER_KyushuUniv	@hito_lib	@KURENAI_update	@GKB48Tweet	@NatureJapan	@tsukubaLC	@mu_lib	@SurfaceJP	@uom_lib	@HIT_LIB	@biblio_tottori	@keiolibronbun
11	@nit_kc_lib	@nisshilib	@OKU_lib	@sojo_tosyo	@yamatantosho	@lib_list	@mu_lib2	@sgu_kjc_media	@kukiwak	@geitanlib
12	@NashiLibM	@shirayuri_lib	@scitechmckeio	@tumsat_slib	@tku_toshobu	@UTokyo_AgLib	@hosei_iLib	@hysmedia_keio	@UTokyoLibAsk	@MedLibKeio	@NUTLibrary	@FksmaMedUnivLib	@UTokyoKomabaLib	@Sophia_MediaCC	@ryukyus_lib	@ochalisa_lib	@HiroshimaCU_lib	@HULnavi	@ShizuokaUnivLib	@KagawaUnivLM	@bunkyo_slib	@RikkyoMC	@mu_lib3	@studyassistant
13	@lib_josai	@seisen_lib	@nvlulib	@TottoriU_Lib	@daito_mlib	@nuhw_lib	@HiroshimaU_Lib	@tosho376	@Shigabunkyo_lib	@lib_advis	@Kyorinsflib	@KyoaiLibrary
14	@QLib_info	@fu_lib	@Ehime_Univ_Lib	@USH_Lib	@OsakaUnivLib	@meiji_lib	@aichihonzou	@hinoto_kgulib	@AUE_Lib	@AU_Nlib	@lib_tcu	@KagawaUnivLib	@hontomo_nagoya	@tsukubauniv_lib	@yone_lib	@ycclib	@university_lib	@FLCkouhou	@toshokatsu_kwu	@shindai_nana	@obirin_reading	@gakuseisensho	@Tohoku_Banzai
15	@bibubumuroran	@dtk_doc
16	@mochi_pro	@QLib_voice	@tamabi_library	@npoiaal	@tamamihatake
17	@kyoritsu_lib	@KumadaiLib	@MuroranIT_lib	@shobi_lib	@waseda_univ_WUL	@turudai_lib	@MUES_muelibrary	@yoshidasouthlib	@kdu_library	@NKD_lib	@Aigei_Library	@scc_sapmed	@TenshiLibrary	@hosei_kLib	@hannan_univ_lib	@tcmlib	@shohoku_lib	@rikkyo_lib	@Teikyo_MELIC	@crd_tweet	@TokyoTechLib	@geitanlib	@ALC_Chiba_Univ	@OkayamaUnivLib	@koyasanlib	@Keio_MitaLib	@kuscilib	@ngu_lib	@sfc_mediacenter	@U_PARL	@azabusenta	@daitoken	@kitlc_kurume	@LibKGC	@wmul_k	@dwc_toshosapo	@liss_kaetsu	@LibraryOtemae	@CIAS_library	@LA_Fukui_Univ_L	@Yokoichi_LS	@libkyodo2014
18	@naito_nmu	@yguSeeds	@KWU_Library	@PLR_ritsumei
19	@KIT_Library	@tumsat_elib	@ueclib	@wakouniv_lib	@hosei_tLib	@bunkyo_klib	@learn_supporter	@utms_library
20	@media_lib	@kulibrarians	@ShinshuUnivLib	@tcu_lib	@meidaibibubato
